Fátima,114807,Portugal
Ferney-Voltaire,97034,France
Figueres,66292,Spain
Florence,71854,Italy
Flores,67993,Guatemala
Flúðir,261005,Iceland
Fort Lauderdale,79817,United States
Frankfurt,64980,Germany
Funchal,76533,Portugal
Genk,60815,Belgium
Genoa,71831,Italy
Ghent,60814,Belgium
Girona,66285,Spain
Giverny,276,France
Glasgow,5,United Kingdom
Göreme,120668,Turkey
Gothenburg,78108,Sweden
Granada,66003,Spain
Graz,60360,Austria
Grindavík,203923,Iceland
Grosseto,71818,Italy
Guadalajara,74270,Mexico
Guatemala City,68006,Guatemala
Gurgaon,70285,India
Haarlem,74982,Netherlands
Haines,258507,United States
Hamburg,64886,Germany
Harderwijk,74980,Netherlands
Hasselt,60807,Belgium
Haßloch,64872,Germany
Healy,258629,United States
Helsinki,66544,Finland
Höfn,203903,Iceland
Hong Kong,34,China
Honolulu,82342,United States
Houston,80638,United States
Huelva,65996,Spain
Húsafell,260972,Iceland
Húsavík,203902,Iceland
Innsbruck,60358,Austria
Interlaken,88270,Switzerland
Inverness,29,United Kingdom
Istanbul,79079,Turkey
Izmir,1343,Turkey
Jasper,322,Canada
Jerusalem,68627,Israel
Kaatsheuvel,952,Netherlands
Kahului,82330,United States
Kansas City,80090,United States
Katoomba,60435,Australia
Kauai (Island),1246,United States
Kayenta,125517,United States
Kearny,81190,United States
Key West,79844,United States
Kiel,64775,Germany
Kissimmee,79846,United States
Klaipeda,73367,Lithuania
Ko Samui,78483,Thailand
Köflach,83755,Austria
Krakow,46,Poland
Kuala Lumpur,74416,Malaysia
Kuşadası,78863,Turkey
Kutná Hora,64187,Czech Republic
Kyoto,72420,Japan
La Flèche,66907,France
La Rochelle,66897,France
Langkawi,772,Malaysia
Laren,111406,Netherlands
Las Vegas,82073,United States
Lausanne,62666,Switzerland
Lauterbrunnen,137907,Switzerland
Le Mont-Saint-Michel,260936,France
Leeuwarden,74943,Netherlands
Leiden,74942,Netherlands
Leipzig,64715,Germany
Lelystad,74940,Netherlands
Les Diablerets,261269,Switzerland
Les Epesses,180481,France
Les Sables-d'Olonne,66864,France
Leticia,63843,Colombia
Liberia,63976,Costa Rica
Lido di Jesolo,71809,Italy
Lille,66858,France
Lima,75306,Peru
Lisbon,76528,Portugal
Lisse,260931,Netherlands
Liverpool,67463,United Kingdom
Livorno,71786,Italy
Ljubljana,78133,Slovenia
London,67458,United Kingdom
Los Angeles,81810,United States
Loxahatchee,248469,United States
Lucca,71784,Italy
Lyon,66838,France
Maastricht,74931,Netherlands
Macau,47,China
Madrid,66254,Spain
Málaga,32,Spain
Mallorca,471,Spain
Manchester,67441,United Kingdom
Manta,207794,Ecuador
Marmaris,78854,Turkey
Marseille,66825,France
Matera,71760,Italy
Mechelen,60769,Belgium
Medellín,63829,Colombia
Melaka,74395,Malaysia
Melbourne,60426,Australia
Memphis,80554,United States
Metz,66814,France
Mexico City,74040,Mexico
Miami,79868,United States
Milan,71749,Italy
Minneapolis,81094,United States
Modena,71744,Italy
Monaco,73505,Monaco
Monterosso al Mare,207409,Italy
Monteux,96478,France
Montevideo,82413,Uruguay
Montpellier,66788,France
Montreal,25,Canada
Moscow,77231,Russia
Munich,31,Germany
Muscat,75189,Oman
Myrtle Beach,80512,United States
Naantali,95595,Finland
Nantes,66776,France
Naples,71720,Italy
Nara,72353,Japan
Nashville,82353,United States
Nerja,65926,Spain
Nevşehir,78844,Turkey
New Orleans,80162,United States
New York,260932,United States
Newcastle,185710,United Kingdom
Niagara Falls,62419,Canada
Niagara Falls,81337,United States
Niagara-On-The-Lake,982,Canada
Nice,66770,France
Nijmegen,74919,Netherlands
Nuenen,74916,Netherlands
Nusajaya,194489,Malaysia
Ocho Rios,106481,Jamaica
Ölüdeniz,245910,Turkey
Oostende,60750,Belgium
Orlando,79889,United States
Orvieto,71696,Italy
Osaka,28,Japan
Oslo,75084,Norway
Ottawa,62431,Canada
Oxford,67381,United Kingdom
Padua,138,Italy
Padula,105173,Italy
Palermo,71428,Italy
Palm Springs,79898,United States
Parabiago,71684,Italy
Paris,66746,France
Pattaya,48,Thailand
Peaugres,179024,France
Perugia,71679,Italy
Philadelphia,80492,United States
Phoenix,81637,United States
Pigeon Forge,124347,United States
Pisa,260935,Italy
Playa del Carmen,73927,Mexico
Poitiers,66735,France
Poole,67363,United Kingdom
Portland,80975,United States
Porto,177169,Portugal
Porto,76573,Portugal
Portsmouth,67358,United Kingdom
Potsdam,64529,Germany
Pozza di Fassa,206622,Italy
Prague,64162,Czech Republic
Puerto Iguazú,30,Argentina
Puerto Vallarta,74201,Mexico
Puno,75296,Peru
Quimbaya,63796,Colombia
Quito,65652,Ecuador
Reykholt,1320,Iceland
Reykjavík,22,Iceland
Riga,73383,Latvia
Rimini,71634,Italy
Rio de Janeiro,61535,Brazil
Rome,71631,Italy
Ronda,65896,Spain
Rotterdam,74895,Netherlands
Rovaniemi,66502,Finland
s-Hertogenbosch,74887,Netherlands
Saint Augustine,122690,United States
Saint Petersburg,77061,Russia
Saint-Émilion,177951,France
Sainte Mère l'Eglise,177952,France
Salisbury,67309,United Kingdom
Salta,60240,Argentina
Salzburg,60346,Austria
Samut Songkhram,78528,Thailand
San Antonio,248671,United States
San Clemente del Tuyú,83245,Argentina
San Diego,81920,United States
San Francisco,1772,United States
San Giovanni la Punta,71409,Italy
San Jose,81926,United States
San Sebastián,66172,Spain
Santa Cruz,898,United States
Santander,66168,Spain
Săpânţa,232513,Romania
Sauðárkrókur,104177,Iceland
Savannah,80026,United States
Seattle,82304,United States
Segovia,66160,Spain
Seoul,73067,South Korea
Sevenum,784,Netherlands
Seville,65870,Spain
Sežana,119195,Slovenia
Sharjah,60007,United Arab Emirates
Siem Reap,72961,Cambodia
Siena,71558,Italy
Sighișoara,76778,Romania
Sinaia,115342,Romania
Singapore,78125,Singapore
Sintra,76496,Portugal
Siracusa,71400,Italy
Skagway,292,United States
Slagharen,839,Netherlands
Sliema,108895,Malta
Sliven,60916,Bulgaria
Sofia,60914,Bulgaria
Somersby,261071,Australia
Sonoma,126046,United States
Sorrento,71552,Italy
South Kuta,261236,Indonesia
Split,68069,Croatia
Squamish,301,Canada
Stavelot,84775,Belgium
Stockholm,1638,Sweden
Stoke-on-Trent,67269,United Kingdom
Stratford-upon-Avon,97844,United Kingdom
Sydney,60400,Australia
Taipei,79181,Taiwan
Tallinn,65702,Estonia
Tampa,79946,United States
Tarragona,66154,Spain
Tel Aviv,68635,Israel
Teruel,66150,Spain
The Hague,74889,Netherlands
Tilburg,74872,Netherlands
Tivoli,71537,Italy
Tokyo,72181,Japan
Toledo,170113,Spain
Toronto,62492,Canada
Torquay,83942,United Kingdom
Toulouse,66619,France
Tours,66615,France
Tredozio,205342,Italy
Treviso,71524,Italy
Tulum,109113,Mexico
Turin,71534,Italy
Ubud,68270,Indonesia
Ungersheim,176560,France
Urbino,71518,Italy
Ushuaia,60210,Argentina
Utrecht,74866,Netherlands
Valencia,65847,Spain
Valletta,73787,Malta
Vancouver,62496,Canada
Vantaa,66489,Finland
Varenna,205179,Italy
Varese,71514,Italy
Varna,60906,Bulgaria
Venice,71510,Italy
Veracruz,73840,Mexico
Verbania,72048,Italy
Verona,71506,Italy
Victoria,62501,Canada
Vienna,60335,Austria
Vík,71390,Iceland
Vilnius,73352,Lithuania
Viterbo,71494,Italy
Volendam,74851,Netherlands
Wailuku,82338,United States
Waimanalo,1036,United States
Wangetti,261137,Australia
Warsaw,485,Poland
"Washington, D.C.",79751,United States
Waterford,68596,Ireland
Wattens,83662,Austria
Weymouth,67236,United Kingdom
Williamsburg,260937,United States
Windermere,97691,United Kingdom
Windsor,67223,United Kingdom
Wolfsburg,64249,Germany
Yonkers,81390,United States
Yorba Linda,82014,United States
York,67204,United Kingdom
Zaandam,74827,Netherlands
Zator,228605,Poland
Zundert,74819,Netherlands
